Week,PRs,50%,90%,Mean,Meeting SLA
2017-27W,10,758.1166666666666,1205.0616666666667,821.1366666666667,0.5
2017-28W,38,802.0583333333334,6129.89,1991.8706140350876,0.47368421052631576
2017-29W,19,427.5,1244.1133333333335,599.0298245614035,0.7894736842105263
2017-30W,24,1342.125,3289.6149999999984,1597.3791666666664,0.08333333333333333
2017-31W,73,3021.7833333333333,3053.286666666667,2196.528082191781,0.1643835616438356
2017-32W,51,1424.2,1437.8833333333334,1133.0830065359476,0.2549019607843137
2017-33W,45,507.31666666666666,1467.0733333333333,698.4751851851852,0.6666666666666666
2017-34W,40,466.29999999999995,1005.1933333333345,613.0220833333333,0.775
2017-35W,70,1145.9083333333333,1154.5933333333332,1050.5235714285716,0.24285714285714285
2017-36W,43,463.68333333333334,1054.9433333333336,625.9624031007752,0.6744186046511628
2017-37W,32,319.4,533.1283333333334,357.9515625,0.9375
2017-38W,47,467.8833333333333,476.51,405.5645390070921,0.9787234042553191
2017-39W,28,372.26666666666665,595.5183333333334,399.33869047619044,0.8928571428571429
2017-40W,73,406.6666666666667,1551.2799999999984,687.1276255707763,0.6986301369863014
2017-41W,83,1057.9833333333333,1068.9766666666667,835.0060240963858,0.3373493975903614
2017-42W,69,744.1666666666666,753.6133333333333,750.7268115942027,0.13043478260869565
2017-43W,45,1555.0166666666667,6959.473333333335,3236.383333333333,0.3333333333333333
2017-44W,25,1674.6833333333334,4412.14,1944.406,0.4
2017-45W,43,1003.2833333333333,2325.2533333333336,1160.2565891472868,0.37209302325581395
2017-46W,104,1517.0083333333332,1535.6266666666666,1337.3549679487182,0.18269230769230768
2017-47W,71,797.2333333333333,969.15,757.6417840375586,0.30985915492957744
2017-48W,57,589.4666666666667,800.24,652.5429824561404,0.6140350877192983
2017-49W,32,320.35,1293.181666666667,548.7265625,0.8125
2017-50W,15,206.93333333333334,414.02,267.71777777777777,1.0
2017-51W,24,289.6166666666667,762.0783333333333,375.0395833333334,0.875
2017-52W,10,1835.5666666666666,5755.739999999999,2646.6216666666664,0.4
2018-00W,75,2798.5666666666666,2806.9266666666667,1943.384888888889,0.13333333333333333
2018-01W,35,462.96666666666664,1341.4066666666672,613.9942857142856,0.7714285714285715
2018-02W,38,418.1583333333333,1080.4533333333338,557.0342105263157,0.7894736842105263
2018-03W,48,463.3083333333333,933.0033333333347,579.4038194444444,0.8333333333333334
2018-04W,65,771.2666666666667,1490.8566666666666,932.6141025641024,0.47692307692307695
2018-05W,30,162.40833333333333,312.72500000000014,276.15999999999997,0.9333333333333333
2018-06W,6,186.14999999999998,624.3666666666667,319.7416666666667,0.8333333333333334
2018-07W,74,3692.225,6981.826666666667,3846.6657657657656,0.1891891891891892
2018-08W,46,495.67499999999995,933.5166666666667,566.4101449275362,0.6739130434782609
2018-09W,56,320.80833333333334,574.75,403.94553571428565,0.9285714285714286
2018-10W,77,372.55,814.4266666666671,438.55367965367964,0.8701298701298701
2018-11W,35,218.71666666666667,464.8900000000001,294.5552380952381,0.9428571428571428
2018-12W,28,446.55,1717.321666666667,793.4363095238094,0.6071428571428571
2018-13W,49,716.6833333333333,1179.9566666666667,690.4343537414967,0.5102040816326531
2018-14W,61,1855.5833333333333,2651.616666666667,1557.213387978142,0.29508196721311475
2018-15W,48,222.91666666666669,453.63666666666677,276.4597222222222,0.9791666666666666
2018-16W,36,910.1416666666667,1354.1666666666665,794.963888888889,0.4166666666666667
