PR,merge_sha,merge_date,run_sha,run_date,latency
15739,4c1f3f66c6,2020-06-05T09:48:20+00:00,4c1f3f66c6,2020-06-05T11:20:49.573576Z,92.49289293333332
19727,d75f753174,2020-06-12T17:26:05+00:00,d75f753174,2020-06-12T19:08:36.59042Z,102.52650700000001
21323,333521dce3,2020-06-09T22:30:12+00:00,090f052c18,2020-06-10T00:57:36.157633Z,147.40262721666667
21553,ee29cde890,2020-06-04T11:32:23+00:00,ee29cde890,2020-06-04T12:44:57.383322Z,72.57305536666667
21863,c1518503b6,2020-06-28T06:30:33+00:00,c1518503b6,2020-06-28T08:04:33.133534Z,94.00222556666667
21901,e06c2c218f,2020-06-02T18:41:03+00:00,e06c2c218f,2020-06-02T20:31:45.323915Z,110.70539858333333
22054,90bf7ea0eb,2020-05-28T11:03:28+00:00,90bf7ea0eb,2020-05-28T12:18:03.612954Z,74.59354923333333
22324,9f93577bb2,2020-06-04T19:25:48+00:00,9f93577bb2,2020-06-04T21:01:39.138973Z,95.85231621666667
22333,b3829d7526,2020-05-27T22:40:23+00:00,b3829d7526,2020-05-27T23:54:36.91064Z,74.231844
22645,ee42c2ebab,2020-05-29T09:37:31+00:00,ee42c2ebab,2020-05-29T10:52:23.973922Z,74.8828987
22952,cb40575e1a,2020-06-26T23:37:08+00:00,cb40575e1a,2020-06-27T00:49:24.973381Z,72.28288968333332
22982,887350c2f4,2020-06-11T15:27:00+00:00,887350c2f4,2020-06-11T16:41:05.444166Z,74.0907361
23162,eccee3ede4,2020-05-27T14:54:19+00:00,eccee3ede4,2020-05-27T16:07:47.292045Z,73.47153408333334
23275,11111faf82,2020-06-10T21:54:13+00:00,11111faf82,2020-06-10T23:20:29.494878Z,86.27491463333334
23276,8c7208e8d5,2020-06-23T18:27:38+00:00,8c7208e8d5,2020-06-23T19:37:56.007137Z,70.30011895
23303,c6aa9c9a8e,2020-05-26T21:58:31+00:00,c6aa9c9a8e,2020-05-26T23:21:36.248824Z,83.0874804
23307,4bd7630de8,2020-06-28T17:07:16+00:00,4bd7630de8,2020-06-28T18:41:42.13923Z,94.43565383333333
23363,e60c416109,2020-05-26T11:06:36+00:00,e60c416109,2020-05-26T12:21:44.280992Z,75.13801653333333
23381,84d101a169,2020-06-03T11:05:11+00:00,84d101a169,2020-06-03T12:37:44.385238Z,92.55642063333333
23439,3e9d42dde6,2020-06-05T18:54:11+00:00,3e9d42dde6,2020-06-05T20:07:35.964475Z,73.41607458333333
