PR,merge_sha,merge_date,run_sha,run_date,latency
10000,5d9948bbae,2018-04-11T09:31:37+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,52572.217868383326
10001,3b3651aa9c,2018-03-14T14:02:30+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92621.33453505
10002,68f88af092,2018-03-14T18:18:54+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92364.93453505001
10003,77530f262b,2018-03-14T17:41:29+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92402.35120171666
10004,872f840bf8,2018-03-14T08:40:13+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92943.61786838334
10005,b52a19067b,2018-03-14T08:35:20+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92948.50120171667
10006,5c32dfb4d7,2018-03-14T21:55:41+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92148.15120171667
10007,b229e33b76,2018-03-14T21:54:33+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92149.28453505
10008,168b662d7d,2018-03-15T14:38:20+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,91145.50120171667
10009,09e44d1f1b,2018-03-14T18:18:32+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92365.30120171668
10010,14b8462e50,2018-03-16T11:12:37+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,89911.21786838333
10011,47d3a27b56,2018-03-13T19:31:58+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,93731.86786838334
10014,09329e8bb6,2018-04-03T18:09:56+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,63573.90120171666
10018,6e1b5f4494,2018-03-20T13:27:09+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,84016.68453505001
10019,6573773339,2018-03-14T06:48:02+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,93055.80120171668
10020,4f4793ba4d,2018-03-13T22:43:57+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,93539.88453505
10022,bdec0b6e6b,2018-03-14T01:55:00+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,93348.83453505
10023,07b4a27c84,2018-03-14T05:45:20+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,93118.50120171667
10024,7c4bc542cf,2018-03-15T03:21:40+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,91822.16786838333
10025,716fa061d4,2018-03-14T14:48:29+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92575.35120171666
10027,f721ccc131,2018-03-14T15:25:44+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92538.10120171666
10029,4578f69b2b,2018-03-23T13:37:57+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,79685.88453505
10030,17dd2c43fa,2018-03-14T17:40:42+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92403.13453505
10031,a956588de9,2018-03-14T15:58:12+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92505.63453505
10032,e3d85cec3b,2018-03-14T16:19:37+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92484.21786838333
10033,bd1994b0b1,2018-03-14T17:13:40+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92430.16786838333
10034,a656fe777e,2018-03-14T17:23:24+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92420.43453505001
10037,6abf7227e4,2018-03-14T19:24:59+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92298.85120171666
10038,4fa21650e0,2018-03-14T19:26:33+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92297.28453505
10039,2eef29f3c0,2018-03-15T23:09:08+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,90634.70120171667
10040,7743b48b70,2018-03-14T20:17:06+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,92246.73453505001
10041,e04e71fefa,2018-03-20T17:57:36+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,83746.23453505001
10043,03dbbcfeaf,2018-03-15T02:39:26+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,91864.40120171667
10044,8c09d906e2,2018-03-15T06:17:37+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,91646.21786838333
10045,fdb3e674ed,2018-03-15T05:23:24+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,91700.43453505001
10046,750cfaf984,2018-03-15T18:14:49+00:00,2eca7cd948,2018-05-17T21:43:50.072103Z,90929.01786838334
