PR,run_sha,run_time,latency
6444,b0c75cd885,2017-08-21T01:00:18.762916Z,73105.81271526666
6450,b0c75cd885,2017-08-21T01:00:18.762916Z,69716.76271526667
6448,b0c75cd885,2017-08-21T01:00:18.762916Z,69024.29604860001
6455,b0c75cd885,2017-08-21T01:00:18.762916Z,67752.72938193333
6465,b0c75cd885,2017-08-21T01:00:18.762916Z,67324.76271526667
6469,b0c75cd885,2017-08-21T01:00:18.762916Z,66860.9960486
6446,b0c75cd885,2017-08-21T01:00:18.762916Z,66591.7460486
6481,b0c75cd885,2017-08-21T01:00:18.762916Z,65625.3960486
6482,b0c75cd885,2017-08-21T01:00:18.762916Z,65542.8960486
6443,b0c75cd885,2017-08-21T01:00:18.762916Z,65126.229381933335
6486,b0c75cd885,2017-08-21T01:00:18.762916Z,65089.2460486
6454,b0c75cd885,2017-08-21T01:00:18.762916Z,64294.6460486
6445,b0c75cd885,2017-08-21T01:00:18.762916Z,64272.51271526667
6477,b0c75cd885,2017-08-21T01:00:18.762916Z,63881.096048600004
6478,b0c75cd885,2017-08-21T01:00:18.762916Z,63874.52938193334
6475,b0c75cd885,2017-08-21T01:00:18.762916Z,63817.329381933334
6493,b0c75cd885,2017-08-21T01:00:18.762916Z,63788.9960486
6494,b0c75cd885,2017-08-21T01:00:18.762916Z,63776.77938193334
6495,b0c75cd885,2017-08-21T01:00:18.762916Z,63679.12938193334
6496,b0c75cd885,2017-08-21T01:00:18.762916Z,63379.02938193334
6497,b0c75cd885,2017-08-21T01:00:18.762916Z,63324.979381933335
6500,b0c75cd885,2017-08-21T01:00:18.762916Z,63178.02938193334
6488,b0c75cd885,2017-08-21T01:00:18.762916Z,60034.079381933334
6476,b0c75cd885,2017-08-21T01:00:18.762916Z,59340.829381933334
6509,b0c75cd885,2017-08-21T01:00:18.762916Z,58838.92938193333
6510,b0c75cd885,2017-08-21T01:00:18.762916Z,58566.5460486
6523,b0c75cd885,2017-08-21T01:00:18.762916Z,57639.6960486
6524,b0c75cd885,2017-08-21T01:00:18.762916Z,57628.346048600004
6525,b0c75cd885,2017-08-21T01:00:18.762916Z,57617.52938193334
6526,b0c75cd885,2017-08-21T01:00:18.762916Z,57574.56271526667
6512,b0c75cd885,2017-08-21T01:00:18.762916Z,57574.11271526667
6530,b0c75cd885,2017-08-21T01:00:18.762916Z,56848.01271526667
6515,b0c75cd885,2017-08-21T01:00:18.762916Z,56719.76271526667
6456,b0c75cd885,2017-08-21T01:00:18.762916Z,56711.66271526667
6531,b0c75cd885,2017-08-21T01:00:18.762916Z,56685.92938193333
6532,b0c75cd885,2017-08-21T01:00:18.762916Z,56651.01271526667
6479,b0c75cd885,2017-08-21T01:00:18.762916Z,56647.3960486
6491,b0c75cd885,2017-08-21T01:00:18.762916Z,56638.1460486
6508,b0c75cd885,2017-08-21T01:00:18.762916Z,56625.4460486
6514,b0c75cd885,2017-08-21T01:00:18.762916Z,56613.5460486
6516,b0c75cd885,2017-08-21T01:00:18.762916Z,56610.91271526667
6519,b0c75cd885,2017-08-21T01:00:18.762916Z,56341.329381933334
6480,b0c75cd885,2017-08-21T01:00:18.762916Z,56002.846048600004
6535,b0c75cd885,2017-08-21T01:00:18.762916Z,55962.42938193333
6529,b0c75cd885,2017-08-21T01:00:18.762916Z,55799.596048600004
6527,b0c75cd885,2017-08-21T01:00:18.762916Z,55459.729381933335
6528,b0c75cd885,2017-08-21T01:00:18.762916Z,54530.31271526667
6552,b0c75cd885,2017-08-21T01:00:18.762916Z,53974.9960486
6540,b0c75cd885,2017-08-21T01:00:18.762916Z,53961.9960486
6555,b0c75cd885,2017-08-21T01:00:18.762916Z,53785.26271526667
6554,b0c75cd885,2017-08-21T01:00:18.762916Z,53744.11271526667
6557,b0c75cd885,2017-08-21T01:00:18.762916Z,53671.346048600004
6541,b0c75cd885,2017-08-21T01:00:18.762916Z,53630.6460486
6551,b0c75cd885,2017-08-21T01:00:18.762916Z,53538.92938193333
6550,b0c75cd885,2017-08-21T01:00:18.762916Z,50029.229381933335
6538,b0c75cd885,2017-08-21T01:00:18.762916Z,49976.462715266665
6553,b0c75cd885,2017-08-21T01:00:18.762916Z,49952.27938193334
6566,b0c75cd885,2017-08-21T01:00:18.762916Z,49884.17938193333
6559,b0c75cd885,2017-08-21T01:00:18.762916Z,49200.87938193334
6569,b0c75cd885,2017-08-21T01:00:18.762916Z,48903.26271526667
6549,b0c75cd885,2017-08-21T01:00:18.762916Z,48529.17938193333
6558,b0c75cd885,2017-08-21T01:00:18.762916Z,48380.62938193334
6561,b0c75cd885,2017-08-21T01:00:18.762916Z,48103.9960486
6545,b0c75cd885,2017-08-21T01:00:18.762916Z,48040.17938193333
6571,b0c75cd885,2017-08-21T01:00:18.762916Z,47949.67938193333
6504,b0c75cd885,2017-08-21T01:00:18.762916Z,47948.729381933335
6573,b0c75cd885,2017-08-21T01:00:18.762916Z,47810.712715266665
6570,b0c75cd885,2017-08-21T01:00:18.762916Z,47256.66271526667
6578,b0c75cd885,2017-08-21T01:00:18.762916Z,47206.479381933335
6564,b0c75cd885,2017-08-21T01:00:18.762916Z,47023.1460486
6522,b0c75cd885,2017-08-21T01:00:18.762916Z,46860.26271526667
