PR,merge_sha,merge_date,run_sha,run_date,latency
13142,06ef87a3d1,2020-02-20T13:38:43+00:00,06ef87a3d1,2020-02-20T17:24:12.320235Z,225.48867058333332
15548,a2c3ff218a,2020-02-06T21:09:16+00:00,20bfb1dcce,2020-02-07T03:56:23.89407Z,407.1315678333333
16348,cca4170a0c,2019-12-11T15:00:28+00:00,d09c77af12,2019-12-11T20:09:32.052429Z,309.06754048333335
16537,31c0f5efba,2020-01-31T21:06:50+00:00,41d7c3597e,2020-02-03T14:52:47.237905Z,3945.953965083333
17730,8e19fa6bfb,2020-02-18T14:47:11+00:00,8e19fa6bfb,2020-02-19T11:13:07.286636Z,1225.9381106
17795,96203b2df5,2019-12-11T20:11:40+00:00,96203b2df5,2019-12-11T23:14:45.048661Z,183.08414435
18214,694946ba60,2019-12-18T21:09:39+00:00,907bbfc36c,2019-12-19T02:14:00.845064Z,304.3640844
18228,342de366ef,2020-02-25T15:17:31+00:00,aaa24a9312,2020-02-26T04:01:57.437561Z,764.4406260166667
18602,1799625e20,2019-12-18T22:20:59+00:00,907bbfc36c,2019-12-19T02:14:00.845064Z,233.03075106666665
18927,bf5d16e1d7,2019-12-12T15:40:32+00:00,5b46ea7c4f,2019-12-12T20:12:28.917185Z,271.94861975
19085,860196554a,2020-01-28T18:10:40+00:00,7cdb0c3e8d,2020-01-28T23:17:19.432064Z,306.6572010666667
19099,e05bdb8e0d,2020-01-13T18:48:51+00:00,21b984ec52,2020-01-13T23:19:17.122169Z,270.4353694833333
19436,7a0c45dacd,2020-02-19T02:21:50+00:00,7a0c45dacd,2020-02-19T15:48:28.386153Z,806.6397692166667
19558,d18e89cb4b,2019-12-13T06:42:30+00:00,5b2b393469,2019-12-13T11:10:28.992031Z,267.98320051666667
19565,99c68a1609,2020-01-28T11:25:37+00:00,60422d916a,2020-01-28T14:15:48.942074Z,170.19903456666668
19634,91ae81eb86,2020-01-20T12:56:13+00:00,676c9d957b,2020-01-20T17:14:46.901485Z,258.56502475
19701,98e81ec707,2019-12-09T20:09:20+00:00,cfa7532fc6,2019-12-09T23:11:23.703063Z,182.0617177166667
19735,d7365ed494,2019-12-22T02:19:02+00:00,d7365ed494,2019-12-24T02:28:23.095289Z,2889.3515881499998
19823,55c2b9bfc5,2020-01-17T13:08:48+00:00,d61f8dfcd7,2020-01-17T20:11:31.540859Z,422.72568098333335
19862,d357cf2d59,2020-01-13T09:37:32+00:00,296eabe620,2020-01-13T14:27:50.73619Z,290.31226983333335
19886,69ca5c0184,2020-02-07T14:58:19+00:00,69ca5c0184,2020-02-10T11:09:06.084827Z,4090.784747116667
19947,29e2c69f22,2020-01-15T13:16:05+00:00,ac23b3f084,2020-01-15T20:14:18.693677Z,418.22822794999996
19948,f1ddc81d2e,2019-12-13T15:38:28+00:00,eec0625cd0,2019-12-13T20:22:35.348943Z,284.12248238333336
19949,8ffb4b4990,2020-01-15T13:16:45+00:00,ac23b3f084,2020-01-15T20:14:18.693677Z,417.56156128333333
20012,6fbd872e9a,2019-12-14T03:44:18+00:00,6fbd872e9a,2019-12-14T08:09:59.930994Z,265.6988499
20017,5b46ea7c4f,2019-12-12T16:27:16+00:00,5b46ea7c4f,2019-12-12T20:12:28.917185Z,225.21528641666666
20033,b048002b01,2019-12-22T06:38:55+00:00,e936890351,2019-12-24T02:53:40.912652Z,2654.7652108666666
20059,18e8b188c9,2020-02-13T15:38:37+00:00,9286332e9e,2020-02-13T20:25:38.786621Z,287.0297770166666
20096,3c631e2f32,2020-02-14T18:29:54+00:00,8636d919cb,2020-02-14T23:24:32.05172Z,294.6341953333333
20110,efb47196a6,2019-12-20T09:54:52+00:00,8986297ff1,2019-12-23T15:52:56.877657Z,4678.081294283333
20165,fc414534ec,2020-02-13T13:26:26+00:00,cc7860faa9,2020-02-13T17:21:28.404Z,235.04006666666666
20174,06fca46aa2,2020-01-21T07:36:37+00:00,b7477ead63,2020-01-21T14:17:55.684408Z,401.31140680000004
20238,3d053e1672,2019-12-13T15:39:12+00:00,eec0625cd0,2019-12-13T20:22:35.348943Z,283.38914905
20261,da7be43c64,2019-12-23T18:32:03+00:00,e936890351,2019-12-24T02:53:40.912652Z,501.6318775333333
20292,176cb81732,2019-12-13T15:39:35+00:00,eec0625cd0,2019-12-13T20:22:35.348943Z,283.0058157166667
20294,685bedecda,2019-12-09T16:25:04+00:00,2424b16710,2019-12-09T20:08:20.290816Z,223.27151360000002
20297,28859c9d97,2020-01-24T13:10:24+00:00,ec9357334a,2020-01-24T17:19:55.261558Z,249.52102596666666
20306,d472ae32e2,2020-02-03T02:00:34+00:00,d472ae32e2,2020-02-03T19:26:02.336449Z,1045.47227415
