PR,merge_sha,merge_date,run_sha,run_date,latency
11173,bfd9504d32,2019-02-15T12:10:15+00:00,f026ed3dce,2019-02-15T15:03:52.011717Z,173.61686195
12695,d5f07ed3b5,2019-02-18T15:52:38+00:00,d5f07ed3b5,2019-02-18T17:04:32.386751Z,71.90644585
12804,be8418c77f,2019-02-08T10:16:26+00:00,be8418c77f,2019-02-08T11:35:11.205138Z,78.75341896666667
13061,00fa50687c,2019-01-28T22:27:09+00:00,00fa50687c,2019-01-28T23:46:51.595797Z,79.70992995
13109,4552dd0e4a,2019-01-17T13:31:56+00:00,d9392342a5,2019-01-17T16:13:33.918182Z,161.63196969999998
13377,2c648ed9e2,2019-01-25T13:05:00+00:00,129adcb38d,2019-01-25T20:11:55.85914Z,426.9309856666667
13477,f2b7361daf,2019-01-28T19:57:53+00:00,f2b7361daf,2019-01-28T21:17:26.164508Z,79.55274179999999
13873,7d971ce190,2019-02-08T02:41:09+00:00,7d971ce190,2019-02-08T04:00:32.000844Z,79.3833474
13922,cba8de7d7e,2019-01-17T16:00:55+00:00,cba8de7d7e,2019-01-17T17:13:12.412297Z,72.29020495
14143,df29f0e734,2019-01-21T23:27:14+00:00,df29f0e734,2019-01-22T00:45:38.084091Z,78.40140151666667
14163,94dd52b3f5,2019-02-14T17:16:31+00:00,94dd52b3f5,2019-02-14T18:40:57.08326Z,84.43472100000001
14297,c2eb40e600,2019-01-18T02:52:02+00:00,c532ac87c5,2019-01-18T08:44:42.772719Z,352.6795453166667
14300,b5e00132e6,2019-01-31T12:44:24+00:00,b5e00132e6,2019-01-31T14:02:19.722477Z,77.92870795
14383,01e59d3514,2019-01-24T12:58:06+00:00,f4c41eec30,2019-01-24T18:11:31.88965Z,313.4314941666667
14384,2cc428dbf2,2019-01-24T12:58:49+00:00,f4c41eec30,2019-01-24T18:11:31.88965Z,312.7148275
14420,27085bc4fe,2019-01-23T12:04:27+00:00,6bbf5072ab,2019-01-23T16:22:45.742646Z,258.3123774333333
14423,adc0811d92,2019-01-17T15:55:21+00:00,cba8de7d7e,2019-01-17T17:13:12.412297Z,77.85687161666667
14464,53fa0b78c2,2019-01-28T16:26:19+00:00,95ca9136eb,2019-01-28T17:56:25.552627Z,90.10921045
14469,6bbf5072ab,2019-01-23T15:04:32+00:00,6bbf5072ab,2019-01-23T16:22:45.742646Z,78.2290441
14482,52ad8525b2,2019-01-24T17:15:25+00:00,52ad8525b2,2019-01-24T18:39:43.142787Z,84.30237978333334
14491,ce667da7c2,2019-02-14T21:56:34+00:00,ce667da7c2,2019-02-14T23:10:46.792162Z,74.2132027
14531,7e5cdeab73,2019-01-24T09:45:36+00:00,7e5cdeab73,2019-01-24T11:17:58.603422Z,92.3767237
14538,f5239a2af2,2019-01-18T22:06:38+00:00,f5239a2af2,2019-01-18T23:18:55.033992Z,72.28389986666666
14638,95d10c70fd,2019-01-24T16:12:53+00:00,f4c41eec30,2019-01-24T18:11:31.88965Z,118.64816083333334
14686,5041c80124,2019-02-08T05:47:17+00:00,5041c80124,2019-02-08T07:08:52.083466Z,81.58472443333334
14694,f4c7d842e8,2019-01-21T21:00:48+00:00,f4c7d842e8,2019-01-21T22:17:27.603785Z,76.66006308333334
14711,449eccc71d,2019-01-30T20:52:20+00:00,449eccc71d,2019-01-30T22:15:06.564062Z,82.77606770000001
14746,f9bcc1af38,2019-01-17T22:06:39+00:00,f9bcc1af38,2019-01-17T23:18:46.844266Z,72.13073776666667
14761,b0fbbb9ff4,2019-01-24T20:01:44+00:00,b0fbbb9ff4,2019-01-24T21:32:54.316409Z,91.17194015
14791,0b6eed5add,2019-01-21T19:23:35+00:00,821b438560,2019-01-21T20:46:26.177054Z,82.8529509
14801,fe6e5e271d,2019-01-18T22:41:55+00:00,fe6e5e271d,2019-01-18T23:51:19.63885Z,69.41064750000001
14803,91e566ad23,2019-01-25T15:21:28+00:00,129adcb38d,2019-01-25T20:11:55.85914Z,290.464319
14810,b604d66fb7,2019-01-21T21:24:41+00:00,b604d66fb7,2019-01-21T22:38:03.098393Z,73.36830655
14813,ef625c6ac2,2019-01-24T00:57:42+00:00,bbf8f729f4,2019-01-24T05:58:12.675484Z,300.51125806666664
14820,a1b8381ed5,2019-01-18T14:36:31+00:00,a1b8381ed5,2019-01-18T15:50:23.600122Z,73.8766687
14826,97f725c198,2019-01-18T17:49:48+00:00,97f725c198,2019-01-18T19:10:45.319352Z,80.95532253333334
14827,f4c41eec30,2019-01-24T16:56:21+00:00,f4c41eec30,2019-01-24T18:11:31.88965Z,75.18149416666667
14828,8d51019f62,2019-01-25T21:33:17+00:00,8d51019f62,2019-01-25T22:52:33.40044Z,79.27334066666667
14829,4fb2d9c4d1,2019-01-18T03:37:39+00:00,c532ac87c5,2019-01-18T08:44:42.772719Z,307.06287865
14835,c532ac87c5,2019-01-18T07:30:16+00:00,c532ac87c5,2019-01-18T08:44:42.772719Z,74.44621198333333
14845,4851d0827f,2019-01-25T23:21:35+00:00,4851d0827f,2019-01-26T00:51:39.046833Z,90.06744721666668
14848,10e848f92a,2019-01-17T23:38:25+00:00,10e848f92a,2019-01-18T00:48:49.354971Z,70.40591618333333
14851,0a63acfc69,2019-01-21T21:31:11+00:00,f5df77f83b,2019-01-21T22:48:49.139874Z,77.63566456666668
14854,4a04c1db0a,2019-01-19T02:07:14+00:00,a46f41ecd3,2019-01-19T13:21:56.327141Z,674.70545235
14864,af64d3c059,2019-01-28T11:41:44+00:00,827b5373f7,2019-01-28T13:07:22.538432Z,85.6423072
14866,7fb15bfac1,2019-01-31T14:15:55+00:00,7fb15bfac1,2019-01-31T15:33:34.929706Z,77.6654951
14867,8bcd501497,2019-01-18T15:41:39+00:00,8bcd501497,2019-01-18T17:00:38.670011Z,78.99450018333333
14869,821b438560,2019-01-21T19:35:09+00:00,821b438560,2019-01-21T20:46:26.177054Z,71.28628423333333
14876,bdac00f5b9,2019-01-21T22:43:23+00:00,df29f0e734,2019-01-22T00:45:38.084091Z,122.25140151666666
14877,4139dfe3c5,2019-01-30T10:41:57+00:00,4139dfe3c5,2019-01-30T12:05:40.6313Z,83.72718833333333
14882,1311556c4c,2019-01-25T11:59:27+00:00,129adcb38d,2019-01-25T20:11:55.85914Z,492.4809856666667
14886,394111a44d,2019-01-19T00:36:55+00:00,394111a44d,2019-01-19T01:49:04.846521Z,72.16410868333334
14888,bde5f8f30d,2019-01-28T19:44:52+00:00,f2b7361daf,2019-01-28T21:17:26.164508Z,92.56940846666666
14898,537d6a95a9,2019-01-17T09:59:48+00:00,537d6a95a9,2019-01-17T11:20:42.895463Z,80.91492438333333
14899,7422dfaaff,2019-01-17T18:50:44+00:00,7422dfaaff,2019-01-17T20:04:48.047658Z,74.06746096666667
14900,686f923fd4,2019-01-17T20:35:47+00:00,686f923fd4,2019-01-17T21:50:40.39788Z,74.88996466666667
14903,bd951736b4,2019-01-23T00:46:46+00:00,5835a01f1f,2019-01-23T06:32:47.163452Z,346.0193908666667
14906,05281485aa,2019-01-17T10:45:02+00:00,05281485aa,2019-01-17T12:07:53.394475Z,82.85657458333334
14907,f15f912b29,2019-01-18T09:51:50+00:00,f15f912b29,2019-01-18T11:11:57.355214Z,80.1225869
14908,b759655abc,2019-01-19T02:14:38+00:00,a46f41ecd3,2019-01-19T13:21:56.327141Z,667.30545235
14910,cd94eba6ec,2019-01-17T09:08:13+00:00,cd94eba6ec,2019-01-17T10:37:48.839749Z,89.59732915
14911,1ddffbeeb6,2019-02-11T21:36:59+00:00,1ddffbeeb6,2019-02-11T22:59:05.899601Z,82.11499335
14913,0d7a7e2396,2019-01-18T22:20:43+00:00,0d7a7e2396,2019-01-18T23:36:53.003737Z,76.16672895
14915,8841209744,2019-01-19T01:46:41+00:00,8841209744,2019-01-19T02:57:35.215893Z,70.90359821666667
14916,74bae78af4,2019-01-18T00:42:50+00:00,c532ac87c5,2019-01-18T08:44:42.772719Z,481.8795453166667
14918,0ac8c4f740,2019-01-17T22:16:19+00:00,0ac8c4f740,2019-01-17T23:34:24.147119Z,78.08578531666667
14920,e12d7a7336,2019-01-17T23:25:30+00:00,10e848f92a,2019-01-18T00:48:49.354971Z,83.32258284999999
14921,52006fa6b5,2019-01-17T13:21:01+00:00,d9392342a5,2019-01-17T16:13:33.918182Z,172.54863636666667
14922,7f72bad3bf,2019-01-17T17:46:14+00:00,7f72bad3bf,2019-01-17T19:08:52.604547Z,82.64340911666666
14923,e11b6a4669,2019-01-17T23:54:04+00:00,e11b6a4669,2019-01-18T01:06:43.553564Z,72.65922606666666
14924,4fe523f439,2019-01-17T16:56:43+00:00,4fe523f439,2019-01-17T18:11:32.357667Z,74.82262778333333
14925,bf71b1f245,2019-01-19T23:43:33+00:00,bf71b1f245,2019-01-20T01:08:16.236489Z,84.72060815
14926,ce927c0f3c,2019-01-20T13:02:16+00:00,ce927c0f3c,2019-01-20T14:20:14.599166Z,77.97665276666666
14927,d9392342a5,2019-01-17T14:51:03+00:00,d9392342a5,2019-01-17T16:13:33.918182Z,82.51530303333334
14928,60ad712df2,2019-01-21T00:59:57+00:00,63295f9e7e,2019-01-21T12:19:01.819448Z,679.0803241333334
14929,a46f41ecd3,2019-01-19T12:07:01+00:00,a46f41ecd3,2019-01-19T13:21:56.327141Z,74.92211901666666
14930,194ce86f15,2019-01-17T19:51:03+00:00,194ce86f15,2019-01-17T21:08:57.865204Z,77.91442006666666
14931,56fde7485b,2019-01-17T21:27:18+00:00,56fde7485b,2019-01-17T22:47:29.431823Z,80.19053038333332
14932,309c4624b9,2019-01-24T18:50:56+00:00,309c4624b9,2019-01-24T20:18:58.4167Z,88.04027833333333
14934,bbf8f729f4,2019-01-24T04:35:49+00:00,bbf8f729f4,2019-01-24T05:58:12.675484Z,82.39459140000001
14935,fb6e36392d,2019-01-18T13:52:37+00:00,a1b8381ed5,2019-01-18T15:50:23.600122Z,117.7766687
14937,cbdf1db18d,2019-02-02T10:49:32+00:00,cbdf1db18d,2019-02-02T12:07:34.552035Z,78.04253391666666
14939,a95521f904,2019-01-18T16:45:00+00:00,a95521f904,2019-01-18T18:03:10.214262Z,78.1702377
14940,d3a7b00382,2019-01-18T16:29:03+00:00,a95521f904,2019-01-18T18:03:10.214262Z,94.1202377
14941,db3ef405f8,2019-01-21T13:57:34+00:00,821b438560,2019-01-21T20:46:26.177054Z,408.86961756666665
14944,3b1b4cff2e,2019-01-26T01:24:37+00:00,f33a54b1f9,2019-01-26T22:40:03.728987Z,1275.4454831166665
14946,9d1de21ddf,2019-02-11T12:06:41+00:00,eb5aa0038e,2019-02-11T13:35:40.992487Z,88.99987478333334
14947,3444de2f62,2019-01-19T01:39:52+00:00,8841209744,2019-01-19T02:57:35.215893Z,77.72026488333333
14949,a589fd30bc,2019-01-19T01:22:17+00:00,a589fd30bc,2019-01-19T02:41:46.010608Z,79.48351013333333
14950,694ccf5329,2019-01-20T14:33:42+00:00,694ccf5329,2019-01-20T15:45:50.097697Z,72.13496161666667
14951,1fc2d6a452,2019-01-19T02:00:05+00:00,1fc2d6a452,2019-01-19T03:14:22.355182Z,74.28925303333334
14952,45b6a5be22,2019-02-08T15:27:55+00:00,45b6a5be22,2019-02-08T16:46:35.33348Z,78.67222466666666
14953,15a2fe67b0,2019-01-20T14:34:13+00:00,15a2fe67b0,2019-01-20T15:54:10.962836Z,79.96604726666666
14954,175f59709a,2019-01-25T10:11:01+00:00,175f59709a,2019-01-25T11:58:16.559432Z,107.25932386666666
14955,2b6a03a649,2019-01-19T23:36:12+00:00,2b6a03a649,2019-01-20T00:51:41.582873Z,75.49304788333333
14958,8c2f92077b,2019-01-31T18:32:36+00:00,8c2f92077b,2019-01-31T19:49:29.720317Z,76.89533861666668
14960,60af8e615e,2019-01-25T09:54:17+00:00,619a2a3fe6,2019-01-25T11:23:29.212058Z,89.2035343
14962,ad7a8f60ff,2019-01-23T06:08:46+00:00,ad7a8f60ff,2019-01-23T07:25:33.544255Z,76.79240424999999
14963,ac3df67582,2019-01-20T13:24:38+00:00,ac3df67582,2019-01-20T14:37:03.398666Z,72.4233111
14964,57565a1635,2019-01-20T22:46:16+00:00,57565a1635,2019-01-20T23:57:40.183107Z,71.40305178333332
14965,f5440fe8b9,2019-01-20T18:24:33+00:00,f5440fe8b9,2019-01-20T19:38:08.945502Z,73.59909169999999
14966,e810232b17,2019-01-21T17:16:32+00:00,821b438560,2019-01-21T20:46:26.177054Z,209.9029509
14967,f5df77f83b,2019-01-21T21:31:17+00:00,f5df77f83b,2019-01-21T22:48:49.139874Z,77.53566456666667
14969,63295f9e7e,2019-01-21T11:05:24+00:00,63295f9e7e,2019-01-21T12:19:01.819448Z,73.63032413333333
14970,14577a3e19,2019-01-24T15:20:37+00:00,f4c41eec30,2019-01-24T18:11:31.88965Z,170.91482749999997
14971,fab38653d3,2019-02-05T14:03:43+00:00,fab38653d3,2019-02-05T15:27:56.015969Z,84.21693281666667
14973,e4e6eeef32,2019-01-22T11:26:12+00:00,e4e6eeef32,2019-01-22T12:35:35.31457Z,69.38857616666665
14974,b0020d5df1,2019-02-01T15:13:40+00:00,b0020d5df1,2019-02-01T16:51:46.921516Z,98.11535860000001
14975,572d61dfea,2019-01-24T21:28:57+00:00,572d61dfea,2019-01-24T23:04:19.166577Z,95.36944294999999
