PR,merge_sha,merge_date,run_sha,run_date,latency
10000,5d9948bbae,2018-04-11T09:31:37+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,32738.1214522
10001,3b3651aa9c,2018-03-14T14:02:30+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72787.23811886666
10002,68f88af092,2018-03-14T18:18:54+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72530.83811886665
10003,77530f262b,2018-03-14T17:41:29+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72568.25478553333
10004,872f840bf8,2018-03-14T08:40:13+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73109.52145219999
10005,b52a19067b,2018-03-14T08:35:20+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73114.40478553333
10006,5c32dfb4d7,2018-03-14T21:55:41+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72314.05478553333
10007,b229e33b76,2018-03-14T21:54:33+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72315.18811886666
10008,168b662d7d,2018-03-15T14:38:20+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,71311.40478553333
10009,09e44d1f1b,2018-03-14T18:18:32+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72531.20478553332
10010,14b8462e50,2018-03-16T11:12:37+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70077.1214522
10011,47d3a27b56,2018-03-13T19:31:58+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73897.77145219999
10014,09329e8bb6,2018-04-03T18:09:56+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,43739.804785533335
10018,6e1b5f4494,2018-03-20T13:27:09+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,64182.58811886667
10019,6573773339,2018-03-14T06:48:02+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73221.70478553332
10020,4f4793ba4d,2018-03-13T22:43:57+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73705.78811886667
10022,bdec0b6e6b,2018-03-14T01:55:00+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73514.73811886666
10023,07b4a27c84,2018-03-14T05:45:20+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,73284.40478553333
10024,7c4bc542cf,2018-03-15T03:21:40+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,71988.07145219999
10025,716fa061d4,2018-03-14T14:48:29+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72741.25478553333
10027,f721ccc131,2018-03-14T15:25:44+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72704.00478553333
10029,4578f69b2b,2018-03-23T13:37:57+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,59851.788118866665
10030,17dd2c43fa,2018-03-14T17:40:42+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72569.03811886667
10031,a956588de9,2018-03-14T15:58:12+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72671.53811886667
10032,e3d85cec3b,2018-03-14T16:19:37+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72650.1214522
10033,bd1994b0b1,2018-03-14T17:13:40+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72596.07145219999
10034,a656fe777e,2018-03-14T17:23:24+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72586.33811886665
10037,6abf7227e4,2018-03-14T19:24:59+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72464.75478553333
10038,4fa21650e0,2018-03-14T19:26:33+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72463.18811886666
10039,2eef29f3c0,2018-03-15T23:09:08+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70800.60478553333
10040,7743b48b70,2018-03-14T20:17:06+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72412.63811886666
10041,e04e71fefa,2018-03-20T17:57:36+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,63912.13811886667
10043,03dbbcfeaf,2018-03-15T02:39:26+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,72030.30478553333
10044,8c09d906e2,2018-03-15T06:17:37+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,71812.1214522
10045,fdb3e674ed,2018-03-15T05:23:24+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,71866.33811886665
10046,750cfaf984,2018-03-15T18:14:49+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,71094.9214522
10047,b73f249d95,2018-03-16T01:35:36+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70654.13811886666
10048,dd623515aa,2018-03-16T05:55:34+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70394.1714522
10049,212f85de52,2018-03-15T12:39:13+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,71430.52145219999
10050,f4388a3ab1,2018-03-26T14:10:13+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,55499.5214522
10051,919015df88,2018-03-19T15:42:31+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,65487.2214522
10054,7988e17565,2018-03-26T19:34:57+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,55174.788118866665
10055,5033883781,2018-03-16T12:09:06+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70020.63811886666
10057,53ea2c3d98,2018-03-16T21:00:29+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,69489.25478553334
10058,89ba9443f1,2018-03-16T14:46:32+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,69863.20478553334
10059,e5b065b1f2,2018-03-16T05:51:57+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70397.78811886667
10060,0c81c3f6f4,2018-03-16T02:43:19+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70586.4214522
10061,8f61f074b6,2018-03-16T11:13:24+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70076.33811886665
10062,3ec34e5a2c,2018-03-19T22:50:31+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,65059.2214522
10063,dacfb4465c,2018-03-20T18:25:58+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,63883.7714522
10064,bb066efbdb,2018-03-16T17:02:47+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,69726.95478553334
10065,2fdd0358a1,2018-03-16T10:00:32+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70149.20478553332
10066,790e6601ee,2018-03-19T00:36:58+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,66392.7714522
10067,2d88a63343,2018-03-16T06:21:21+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70368.38811886666
10068,66e0742f88,2018-03-21T01:29:05+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,63460.654785533334
10069,a5262d7aa6,2018-03-16T08:32:50+00:00,7f8492376e,2018-05-04T03:09:44.287132Z,70236.90478553333
