PR,merge_sha,merge_date,run_sha,run_date,latency
13142,06ef87a3d1,2020-02-20T13:38:43+00:00,06ef87a3d1,2020-02-20T17:04:00.661789Z,205.29436315
15548,a2c3ff218a,2020-02-06T21:09:16+00:00,20bfb1dcce,2020-02-07T02:07:30.787502Z,298.2464583666667
16537,31c0f5efba,2020-01-31T21:06:50+00:00,41d7c3597e,2020-02-01T02:03:23.643502Z,296.5607250333333
17730,8e19fa6bfb,2020-02-18T14:47:11+00:00,8e19fa6bfb,2020-02-18T17:02:29.427365Z,135.30712275
18214,694946ba60,2019-12-18T21:09:39+00:00,907bbfc36c,2019-12-19T02:10:40.27597Z,301.02126616666663
18228,342de366ef,2020-02-25T15:17:31+00:00,aaa24a9312,2020-02-26T02:10:40.637588Z,653.1606264666666
18602,1799625e20,2019-12-18T22:20:59+00:00,907bbfc36c,2019-12-19T02:10:40.27597Z,229.68793283333335
19085,860196554a,2020-01-28T18:10:40+00:00,7cdb0c3e8d,2020-01-28T23:00:27.275777Z,289.78792961666664
19099,e05bdb8e0d,2020-01-13T18:48:51+00:00,21b984ec52,2020-01-13T23:06:27.70302Z,257.611717
19436,7a0c45dacd,2020-02-19T02:21:50+00:00,7a0c45dacd,2020-02-19T05:00:18.214674Z,158.47024456666668
19565,99c68a1609,2020-01-28T11:25:37+00:00,60422d916a,2020-01-28T13:56:23.044299Z,150.7674049833333
19634,91ae81eb86,2020-01-20T12:56:13+00:00,676c9d957b,2020-01-20T17:11:05.383722Z,254.87306203333335
19735,d7365ed494,2019-12-22T02:19:02+00:00,d7365ed494,2019-12-22T05:02:49.753571Z,163.79589285
19823,55c2b9bfc5,2020-01-17T13:08:48+00:00,52acc76bca,2020-01-17T17:08:53.32236Z,240.088706
19862,d357cf2d59,2020-01-13T09:37:32+00:00,296eabe620,2020-01-13T14:02:53.782832Z,265.36304720000004
19886,69ca5c0184,2020-02-07T14:58:19+00:00,69ca5c0184,2020-02-07T17:05:29.902624Z,127.1817104
19947,29e2c69f22,2020-01-15T13:16:05+00:00,ac23b3f084,2020-01-15T20:04:08.302377Z,408.05503961666665
19949,8ffb4b4990,2020-01-15T13:16:45+00:00,ac23b3f084,2020-01-15T20:04:08.302377Z,407.38837295
20033,b048002b01,2019-12-22T06:38:55+00:00,b048002b01,2019-12-22T11:01:45.177293Z,262.8362882166667
20059,18e8b188c9,2020-02-13T15:38:37+00:00,9286332e9e,2020-02-13T20:05:05.840204Z,266.4806700666667
20096,3c631e2f32,2020-02-14T18:29:54+00:00,8636d919cb,2020-02-14T23:01:06.856007Z,271.21426678333336
20110,efb47196a6,2019-12-20T09:54:52+00:00,8986297ff1,2019-12-20T14:08:16.691947Z,253.41153244999998
