Chromium f8675cbb337440a11bf9afb10ea11bae42bb92cb
WPT 790279663be2b1f314186c1863b7c60a07013f58
1/199 import 32ad80b5a42847ca4580201ec596c01c19b20246
WPT 470d1489f87bea0b6d62db06bee4dc671093a8a0 latency=201.5
2/199 import afb3541ac204fd69e304c41a56b79879bd095dfa
WPT a0c5ba615b66fcbcec487c060d738be59296bff3 latency=173.45
WPT 1369b361c3104785660b97c811fdff4800527c22 latency=278.916666667
3/199 import 99115658574652af3a7a4559d2b14021c338f065
WPT 14cfa4d648cc1c853b4153268df672d21425f8c1 latency=199.966666667
WPT dfe81a60417368ae7f44ecc8b037a120a5790018 latency=200.15
WPT 3922fb3e43b75d2ff118a5ebf793180f570fdb53 latency=200.316666667
WPT c3004c057a96ac38d6216c74cef4e0e3c6d955c8 latency=200.316666667
WPT 4ceeda7f4dd37a511008ebc9becbc48bfb72b2bd latency=284.533333333
WPT 5baacb90308e3541e74c730e4e93658aa52dd3be latency=302.366666667
WPT dea773e08301f34832c6a478c5d38809bb058d38 latency=334.816666667
WPT 6f31327daa5c217c337750acbb822b10aafebbc0 latency=334.816666667
WPT c42b65001671a8fef986300c8c66e0c0ee0ce7aa latency=334.816666667
WPT 1004eee0593372545a19e68935ef9edfe08a55dc latency=334.816666667
WPT fed697589830871d6fdaababb26cc0540ba70051 latency=334.816666667
WPT 61108a40346d8d00b56a1da3eb6c70526f4e0617 latency=334.816666667
WPT c14688181f6116ec3a86beeb62e247890a74ef04 latency=403.3
4/199 import e888dd0f4d0c572e5513845fcfcbb25589c48585
WPT 15191881e5a4d6575a92a7fa227376b51a2c7771 latency=176.35
5/199 import 9bf166893edc3cea7ae7194b0784d85e9ad2cf0f
WPT 8e429159cee0ddaa20ed8da60c70751107366a9d latency=174.266666667
6/199 import edb87e9e4900ca51cc2c819f429d98709e6cd76b
WPT 75f40af33f5281560a775b36fc0a0dcfb0e26da8 latency=354.266666667
WPT 019017291da5ebab34842048ef74750498ef881f latency=623.2
WPT 6f1c28f4ef24a48f25c5bb01f9a5ee75c39f2bc6 latency=645.833333333
WPT 31677af3ed613172654cf3d83b3b6fac0d20879f latency=646.183333333
WPT 7abd60cae5f7e60d712a27524ec39890933d985b latency=647.266666667
WPT a4dc0a977bed7f266c3634124c4ab0b6670bf4ef latency=758.3
WPT f7c76be9e953d16589d1645d899a3ce2741dd87a latency=806.8
WPT 97caf42a67777e07de357010fa2f226d74e3e24a latency=1347.95
WPT fabf91dc28ca3e2ae83099b6b169fc16ce657b06 latency=1445.2
WPT 7a384eede50ba9ba26e441dea91f6ca98459716a latency=1517.56666667
WPT f878fee4df619e55c7fbfce1a2ff5e5d4d83a03b latency=1521.36666667
WPT 95311d90addfa959a1a5a816988aa9d4a33666d8 latency=1524.9
WPT b474d5e1133c61240eb189f0158dcb4d0d09977d latency=1555.05
WPT a419e4e803a13b973e69e8523b3e68e90b050945 latency=1668.01666667
WPT e166575b7d98310130130ac50f9aa22ee1f305ea latency=1757.58333333
WPT dd83f891b80aa9b05e5fe35d1680e53c6a435b07 latency=1776.25
WPT a39fc6801dbfeadef095810f71cd54067bf40998 latency=1821.51666667
WPT ec3d9c4ac23816e7a7ec800f3ab537e77689fe85 latency=2410.81666667
WPT 47305f0ed926ebec7fb4746835c12b49f1763862 latency=2489.31666667
WPT a3ef21ba21c3f4d214b908ade07e9bba43210a63 latency=2602.65
WPT 16bf6bb494be36e5a30c9deadfecad2defadee32 latency=2893.5
WPT dd83144980695ebea99c16920cb7933f021337db latency=3213.45
WPT 433f3640bd829063074555c363c8e68137a27164 latency=3276.4
WPT 0b47379976d9db5961523e8cee5597a825b64c8e latency=3290.68333333
WPT 026f7ae10a3db2b4b904d181c604ceaa30caf65a latency=3300.78333333
